,timestamp,tweet_id,sentiment_score,very_negative,negative,neutral,positive,very_positive,yesterday_timestamp
0,2021-09-02,3.6437875450265825e+21,416.5166,110,249,1113,519,551,2021-09-03
1,2021-09-03,3.089811401680036e+21,385.8066,117,207,865,452,514,2021-09-04
2,2021-09-04,9.780840961903552e+20,94.5166,45,64,327,83,163,2021-09-05
3,2021-09-05,1.0859307959951921e+21,131.6918,40,62,335,146,174,2021-09-06
4,2021-09-06,1.2727472019495146e+21,176.3665,44,64,368,187,224,2021-09-07
5,2021-09-07,3.916839423181362e+21,419.4339,121,261,1246,548,553,2021-09-08
6,2021-09-08,3.3076251935424947e+21,364.3119,124,226,1024,407,523,2021-09-09
7,2021-09-09,2.709677297623612e+21,303.7486,89,191,831,363,413,2021-09-10
8,2021-09-10,5.462459386336615e+21,402.34590000000003,270,511,1531,828,663,2021-09-11
9,2021-09-11,1.4151100072360912e+21,116.0723,63,114,431,190,187,2021-09-12
10,2021-09-12,1.5779056101137362e+21,166.5892,66,118,461,214,239,2021-09-13
11,2021-09-13,3.813487246940618e+21,418.7698,159,264,1064,577,589,2021-09-14
12,2021-09-14,6.267405752565085e+21,521.9633,250,498,1963,891,757,2021-09-15
13,2021-09-15,3.730538470013584e+21,414.3545,126,304,1052,554,558,2021-09-16
14,2021-09-16,2.8151533363025087e+21,303.6314,119,178,841,404,415,2021-09-17
15,2021-09-17,3.1496967372661404e+21,246.6713,189,216,923,442,419,2021-09-18
16,2021-09-18,1.0261511466976191e+21,73.9195,69,74,311,116,143,2021-09-19
17,2021-09-19,1.405054342603884e+21,144.805,71,100,397,189,219,2021-09-20
18,2021-09-20,3.3263140779797863e+21,325.6855,146,278,915,497,474,2021-09-21
19,2021-09-21,2.6573842297571e+21,267.63960000000003,121,175,785,374,390,2021-09-22
20,2021-09-22,2.7891826013136743e+21,274.2106,115,216,821,390,394,2021-09-23
21,2021-09-23,2.6961926891867026e+21,252.8879,140,205,776,332,418,2021-09-24
22,2021-09-24,2.572913796400041e+21,250.5886,128,202,714,345,396,2021-09-25
23,2021-09-25,9.342519118541843e+20,90.4,48,60,280,123,137,2021-09-26
24,2021-09-26,1.048438184056142e+21,142.1271,42,76,256,163,190,2021-09-27
25,2021-09-27,2.887880906456614e+21,303.9931,134,230,781,421,436,2021-09-28
26,2021-09-28,2.8280170631740114e+21,283.965,141,217,775,399,428,2021-09-29
27,2021-09-29,2.8734519200863774e+21,313.0444,140,179,822,389,461,2021-09-30
28,2021-09-30,2.764463784623481e+21,265.8519,133,203,785,397,397,2021-10-01
29,2021-10-01,2.83303068781875e+21,340.3352,105,197,781,428,451,2021-10-02
30,2021-10-02,9.864339660399419e+20,106.1113,45,65,269,159,145,2021-10-03
